idna_subject,checker_type,destination,source,tested_at
last_retested_at_epoch,AVAILABILITY,6007799.com,/home/travis/build/PyFunceble/ci_test/6007799.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6007799.com,/home/travis/build/PyFunceble/ci_test/6007799.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6007799.com,/home/travis/build/PyFunceble/ci_test/6007799.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6007888.com,/home/travis/build/PyFunceble/ci_test/6007888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6007888.com,/home/travis/build/PyFunceble/ci_test/6007888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6007888.com,/home/travis/build/PyFunceble/ci_test/6007888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6007888.com,/home/travis/build/PyFunceble/ci_test/6007888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6007888.com,/home/travis/build/PyFunceble/ci_test/6007888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6008999.com,/home/travis/build/PyFunceble/ci_test/6008999.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6008999.com,/home/travis/build/PyFunceble/ci_test/6008999.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6008999.com,/home/travis/build/PyFunceble/ci_test/6008999.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6008999.com,/home/travis/build/PyFunceble/ci_test/6008999.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6008999.com,/home/travis/build/PyFunceble/ci_test/6008999.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6009888.com,/home/travis/build/PyFunceble/ci_test/6009888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:22,AVAILABILITY,6009888.com,/home/travis/build/PyFunceble/ci_test/6009888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6009888.com,/home/travis/build/PyFunceble/ci_test/6009888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6009888.com,/home/travis/build/PyFunceble/ci_test/6009888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6009888.com,/home/travis/build/PyFunceble/ci_test/6009888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6009988.com,/home/travis/build/PyFunceble/ci_test/6009988.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:22,AVAILABILITY,6009988.com,/home/travis/build/PyFunceble/ci_test/6009988.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6009988.com,/home/travis/build/PyFunceble/ci_test/6009988.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6009988.com,/home/travis/build/PyFunceble/ci_test/6009988.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6009988.com,/home/travis/build/PyFunceble/ci_test/6009988.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,8000818.com,/home/travis/build/PyFunceble/ci_test/8000818.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:22,AVAILABILITY,8000818.com,/home/travis/build/PyFunceble/ci_test/8000818.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,8000818.com,/home/travis/build/PyFunceble/ci_test/8000818.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,8000818.com,/home/travis/build/PyFunceble/ci_test/8000818.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,8000818.com,/home/travis/build/PyFunceble/ci_test/8000818.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,8006688.com,/home/travis/build/PyFunceble/ci_test/8006688.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:22,AVAILABILITY,8006688.com,/home/travis/build/PyFunceble/ci_test/8006688.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,8006688.com,/home/travis/build/PyFunceble/ci_test/8006688.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,8006688.com,/home/travis/build/PyFunceble/ci_test/8006688.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,8006688.com,/home/travis/build/PyFunceble/ci_test/8006688.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,8010888.com,/home/travis/build/PyFunceble/ci_test/8010888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:22,AVAILABILITY,8010888.com,/home/travis/build/PyFunceble/ci_test/8010888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,8010888.com,/home/travis/build/PyFunceble/ci_test/8010888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:24,AVAILABILITY,8010888.com,/home/travis/build/PyFunceble/ci_test/8010888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,8010888.com,/home/travis/build/PyFunceble/ci_test/8010888.com,2020-12-22T23:46:26.979058
